Dataset,Document_File,Generation_Time_Seconds
roam_prescription_based_prediction,document_83197.json,428.57
roam_prescription_based_prediction,document_91477.json,30.16
roam_prescription_based_prediction,document_43837.json,11.2
roam_prescription_based_prediction,document_66293.json,197.72
roam_prescription_based_prediction,document_67505.json,116.13
roam_prescription_based_prediction,document_33363.json,51.49
roam_prescription_based_prediction,document_49816.json,1545.25
roam_prescription_based_prediction,document_103352.json,69.54
roam_prescription_based_prediction,document_32732.json,11.58
roam_prescription_based_prediction,document_115169.json,18.66
roam_prescription_based_prediction,document_104732.json,203.45
roam_prescription_based_prediction,document_106715.json,155.16
roam_prescription_based_prediction,document_2315.json,13.47
roam_prescription_based_prediction,document_87825.json,12.95
roam_prescription_based_prediction,document_66775.json,15.29
roam_prescription_based_prediction,document_29518.json,14.36
roam_prescription_based_prediction,document_70628.json,86.74
roam_prescription_based_prediction,document_52627.json,35.19
roam_prescription_based_prediction,document_28095.json,35.97
roam_prescription_based_prediction,document_108747.json,36.58
roam_prescription_based_prediction,document_60357.json,19.63
roam_prescription_based_prediction,document_117776.json,14.41
roam_prescription_based_prediction,document_18536.json,259.74
roam_prescription_based_prediction,document_58708.json,55.77
roam_prescription_based_prediction,document_8939.json,338.05
roam_prescription_based_prediction,document_107116.json,14.48
roam_prescription_based_prediction,document_96420.json,32.55
roam_prescription_based_prediction,document_37297.json,32.77
roam_prescription_based_prediction,document_99884.json,354.01
roam_prescription_based_prediction,document_41086.json,16.27
roam_prescription_based_prediction,document_36883.json,13.25
roam_prescription_based_prediction,document_74304.json,321.87
roam_prescription_based_prediction,document_50570.json,34.97
roam_prescription_based_prediction,document_23953.json,627.59
roam_prescription_based_prediction,document_24106.json,13.06
roam_prescription_based_prediction,document_48766.json,64.5
roam_prescription_based_prediction,document_56355.json,16.6
roam_prescription_based_prediction,document_6086.json,99.26
roam_prescription_based_prediction,document_42868.json,52.97
roam_prescription_based_prediction,document_64860.json,89.23
roam_prescription_based_prediction,document_93732.json,57.18
roam_prescription_based_prediction,document_59131.json,75.8
roam_prescription_based_prediction,document_16907.json,343.18
roam_prescription_based_prediction,document_95400.json,15.63
roam_prescription_based_prediction,document_23568.json,51.59
roam_prescription_based_prediction,document_91015.json,15.33
roam_prescription_based_prediction,document_46308.json,17.62
roam_prescription_based_prediction,document_117145.json,54.66
roam_prescription_based_prediction,document_82385.json,38.93
roam_prescription_based_prediction,document_44706.json,97.2
roam_prescription_based_prediction,document_12832.json,19.69
roam_prescription_based_prediction,document_66358.json,12.18
roam_prescription_based_prediction,document_94160.json,12.67
roam_prescription_based_prediction,document_89628.json,13.21
roam_prescription_based_prediction,document_3140.json,38.59
roam_prescription_based_prediction,document_34557.json,12.96
roam_prescription_based_prediction,document_56182.json,12.95
roam_prescription_based_prediction,document_60882.json,49.8
roam_prescription_based_prediction,document_17876.json,243.36
roam_prescription_based_prediction,document_98945.json,56.42
roam_prescription_based_prediction,document_104338.json,12.69
roam_prescription_based_prediction,document_95689.json,14.21
roam_prescription_based_prediction,document_71690.json,25.97
roam_prescription_based_prediction,document_68317.json,19.8
roam_prescription_based_prediction,document_90126.json,127.21
roam_prescription_based_prediction,document_77287.json,10.52
roam_prescription_based_prediction,document_63800.json,31.41
roam_prescription_based_prediction,document_15523.json,12.95
roam_prescription_based_prediction,document_22120.json,11.18
roam_prescription_based_prediction,document_86343.json,11.36
roam_prescription_based_prediction,document_6048.json,42.69
roam_prescription_based_prediction,document_6093.json,28.02
roam_prescription_based_prediction,document_108202.json,14.2
roam_prescription_based_prediction,document_116563.json,45.04
roam_prescription_based_prediction,document_37646.json,32.54
roam_prescription_based_prediction,document_9614.json,25.88
roam_prescription_based_prediction,document_23987.json,16.86
roam_prescription_based_prediction,document_73932.json,28.2
roam_prescription_based_prediction,document_25705.json,38.35
roam_prescription_based_prediction,document_86914.json,42.98
roam_prescription_based_prediction,document_9612.json,14.33
roam_prescription_based_prediction,document_107516.json,42.19
roam_prescription_based_prediction,document_99358.json,30.88
roam_prescription_based_prediction,document_91645.json,12.96
roam_prescription_based_prediction,document_100944.json,11.62
roam_prescription_based_prediction,document_24986.json,63.1
roam_prescription_based_prediction,document_45694.json,52.2
roam_prescription_based_prediction,document_51642.json,13.87
roam_prescription_based_prediction,document_6289.json,37.72
roam_prescription_based_prediction,document_86927.json,56.44
roam_prescription_based_prediction,document_34914.json,14.5
roam_prescription_based_prediction,document_102158.json,72.58
roam_prescription_based_prediction,document_93599.json,68.38
roam_prescription_based_prediction,document_65388.json,70.69
roam_prescription_based_prediction,document_99864.json,81.67
roam_prescription_based_prediction,document_28788.json,14.05
roam_prescription_based_prediction,document_92857.json,101.13
roam_prescription_based_prediction,document_60224.json,20.16
roam_prescription_based_prediction,document_86790.json,241.99
roam_prescription_based_prediction,document_38965.json,141.55
roam_prescription_based_prediction,document_107668.json,24.13
roam_prescription_based_prediction,document_54167.json,14.13
roam_prescription_based_prediction,document_14658.json,39.97
roam_prescription_based_prediction,document_40659.json,51.27
roam_prescription_based_prediction,document_98009.json,15.04
roam_prescription_based_prediction,document_17416.json,80.51
roam_prescription_based_prediction,document_34047.json,58.35
roam_prescription_based_prediction,document_35116.json,33.85
roam_prescription_based_prediction,document_91367.json,41.96
roam_prescription_based_prediction,document_119384.json,28.34
roam_prescription_based_prediction,document_91786.json,14.87
roam_prescription_based_prediction,document_18594.json,15.76
roam_prescription_based_prediction,document_114656.json,72.93
roam_prescription_based_prediction,document_58444.json,43.18
roam_prescription_based_prediction,document_18763.json,65.25
roam_prescription_based_prediction,document_109477.json,14.05
roam_prescription_based_prediction,document_52685.json,14.87
roam_prescription_based_prediction,document_35642.json,20.81
roam_prescription_based_prediction,document_1395.json,38.68
roam_prescription_based_prediction,document_106605.json,13.31
roam_prescription_based_prediction,document_106210.json,55.19
roam_prescription_based_prediction,document_60974.json,63.73
roam_prescription_based_prediction,document_14803.json,32.84
roam_prescription_based_prediction,document_11714.json,89.08
roam_prescription_based_prediction,document_86700.json,56.91
roam_prescription_based_prediction,document_27302.json,42.3
roam_prescription_based_prediction,document_62582.json,17.25
roam_prescription_based_prediction,document_89006.json,15.64
roam_prescription_based_prediction,document_113746.json,40.75
roam_prescription_based_prediction,document_97445.json,20.5
roam_prescription_based_prediction,document_39701.json,33.13
roam_prescription_based_prediction,document_1071.json,36.9
roam_prescription_based_prediction,document_56913.json,18.9
roam_prescription_based_prediction,document_51476.json,17.93
roam_prescription_based_prediction,document_90777.json,34.42
roam_prescription_based_prediction,document_45648.json,37.21
roam_prescription_based_prediction,document_44593.json,16.45
roam_prescription_based_prediction,document_53062.json,383.84
roam_prescription_based_prediction,document_48740.json,56.64
roam_prescription_based_prediction,document_12448.json,107.83
roam_prescription_based_prediction,document_93063.json,47.95
roam_prescription_based_prediction,document_27530.json,13.0
roam_prescription_based_prediction,document_98420.json,36.19
roam_prescription_based_prediction,document_28888.json,15.72
roam_prescription_based_prediction,document_62327.json,57.5
roam_prescription_based_prediction,document_9318.json,36.79
roam_prescription_based_prediction,document_84807.json,13.44
roam_prescription_based_prediction,document_37153.json,16.03
roam_prescription_based_prediction,document_32506.json,67.42
roam_prescription_based_prediction,document_75508.json,16.17
roam_prescription_based_prediction,document_113021.json,13.19
roam_prescription_based_prediction,document_105751.json,36.2
roam_prescription_based_prediction,document_115164.json,12.48
roam_prescription_based_prediction,document_32633.json,53.81
roam_prescription_based_prediction,document_14892.json,73.19
roam_prescription_based_prediction,document_94273.json,247.95
roam_prescription_based_prediction,document_47630.json,37.3
roam_prescription_based_prediction,document_24304.json,41.81
roam_prescription_based_prediction,document_110824.json,13.96
roam_prescription_based_prediction,document_23389.json,12.83
roam_prescription_based_prediction,document_83151.json,13.86
roam_prescription_based_prediction,document_108566.json,14.66
roam_prescription_based_prediction,document_5519.json,58.9
roam_prescription_based_prediction,document_54274.json,78.66
roam_prescription_based_prediction,document_4524.json,40.95
roam_prescription_based_prediction,document_107490.json,17.57
roam_prescription_based_prediction,document_51948.json,67.06
roam_prescription_based_prediction,document_110805.json,13.52
roam_prescription_based_prediction,document_47960.json,22.17
roam_prescription_based_prediction,document_82812.json,71.8
roam_prescription_based_prediction,document_102676.json,59.09
roam_prescription_based_prediction,document_23303.json,101.12
roam_prescription_based_prediction,document_9702.json,14.22
roam_prescription_based_prediction,document_51170.json,41.95
roam_prescription_based_prediction,document_23828.json,38.56
roam_prescription_based_prediction,document_97343.json,13.73
roam_prescription_based_prediction,document_73338.json,15.32
roam_prescription_based_prediction,document_45090.json,14.31
roam_prescription_based_prediction,document_6127.json,37.33
roam_prescription_based_prediction,document_37240.json,17.71
roam_prescription_based_prediction,document_88423.json,14.23
roam_prescription_based_prediction,document_26315.json,43.2
roam_prescription_based_prediction,document_52285.json,34.94
roam_prescription_based_prediction,document_20042.json,58.76
roam_prescription_based_prediction,document_26999.json,107.57
roam_prescription_based_prediction,document_16226.json,59.9
